task,policy,target_policy_mean_cost,matched_expected_mean_cost,cost_match_error,route_probabilities
fever,arr_seed_5,0.26432753533716963,0.2643275353371696,-5.551115123125783e-17,"{""bi200"": 0.17580169019242337, ""bm25"": 0.23378620659351046, ""ce100"": 0.1949203794227703, ""ce20"": 0.2251751313438075, ""hybrid"": 0.17031659244748823}"
structured_v2,qpp,0.21205999999999997,0.21205999999999994,-2.7755575615628914e-17,"{""ce"": 0.05300649442370846, ""full_context"": 0.11839180950951692, ""one_hop"": 0.25917279913455216, ""summary"": 0.35742625383331583, ""two_hop"": 0.21200264309890662}"
structured_v2,native_adaptive,0.15001,0.15001,0.0,"{""ce"": 0.019125705040521013, ""full_context"": 0.072466167744388, ""one_hop"": 0.26557683454321357, ""summary"": 0.4524778525750357, ""two_hop"": 0.19035344009684177}"
structured_v2,arr_seed_1,0.28269,0.2826899999999999,-1.1102230246251565e-16,"{""ce"": 0.10605535762378994, ""full_context"": 0.1597920139446917, ""one_hop"": 0.23830160459274655, ""summary"": 0.28076046286577055, ""two_hop"": 0.21509056097300122}"
structured_v2,arr_seed_2,0.29280500000000004,0.29280500000000004,0.0,"{""ce"": 0.11460456606837433, ""full_context"": 0.16477416527591102, ""one_hop"": 0.23476542644875373, ""summary"": 0.2714619841242942, ""two_hop"": 0.21439385808266676}"
structured_v2,arr_seed_3,0.270395,0.270395,0.0,"{""ce"": 0.09595308738024638, ""full_context"": 0.1534265919951321, ""one_hop"": 0.24246345055124432, ""summary"": 0.2925384496762807, ""two_hop"": 0.21561842039709656}"
structured_v2,arr_seed_4,0.250045,0.250045,0.0,"{""ce"": 0.07998109738228594, ""full_context"": 0.1421254733857864, ""one_hop"": 0.2489512869702821, ""summary"": 0.3133200606870229, ""two_hop"": 0.2156220815746226}"
structured_v2,arr_seed_5,0.32865,0.32865,0.0,"{""ce"": 0.1464889780593305, ""full_context"": 0.1806446534608743, ""one_hop"": 0.22160000773345603, ""summary"": 0.24097824458171574, ""two_hop"": 0.21028811616462334}"
musique,qpp,0.2587596903039537,0.2587596903039537,0.0,"{""V0"": 0.2850090288236751, ""V1"": 0.2817305971113751, ""V2"": 0.25154566435250986, ""V3"": 0.18171470971243991}"
musique,native_adaptive,0.16470170666472253,0.16470170666472256,2.7755575615628914e-17,"{""V0"": 0.3421732617051309, ""V1"": 0.3306771328458023, ""V2"": 0.23660512869623682, ""V3"": 0.09054447675283014}"
musique,arr_seed_1,0.2267163472262767,0.2267163472262767,0.0,"{""V0"": 0.3031231242615361, ""V1"": 0.2976847029457472, ""V2"": 0.249310726440349, ""V3"": 0.1498814463523677}"
musique,arr_seed_2,0.33365245205879324,0.33365245205879324,0.0,"{""V0"": 0.24610140889284088, ""V1"": 0.24640315562936962, ""V2"": 0.24937846819134737, ""V3"": 0.2581169672864422}"
musique,arr_seed_3,0.25166083136292816,0.2516608313629281,-5.551115123125783e-17,"{""V0"": 0.28893069086506346, ""V1"": 0.2852142648149385, ""V2"": 0.25124542836635483, ""V3"": 0.17460961595364313}"
musique,arr_seed_4,0.41703468191188525,0.4170346819118852,-5.551115123125783e-17,"{""V0"": 0.206691147636356, ""V1"": 0.20943903109758846, ""V2"": 0.23836396123549164, ""V3"": 0.3455058600305639}"
musique,arr_seed_5,0.24701240152847326,0.24701240152847326,0.0,"{""V0"": 0.2915252800636365, ""V1"": 0.28751036406950836, ""V2"": 0.25099181529096865, ""V3"": 0.1699725405758865}"
